id,y_true,svm_pred,nb_pred,dt_pred,softmax_pred
131,1,1,1,0,0
132,0,0,1,1,1
133,1,1,0,1,1
134,0,0,0,0,0
135,1,1,0,1,1
136,0,1,0,1,0
137,0,0,0,0,0
138,0,0,0,0,0
139,0,0,1,0,1
140,1,1,0,1,1
141,1,1,0,1,1
142,1,1,1,1,1
143,0,0,0,1,0
144,1,1,0,1,0
145,1,1,0,1,1
146,0,0,0,0,0
147,0,0,0,0,1
148,1,1,1,1,1
149,1,1,1,1,1
150,0,0,0,0,0
151,1,1,1,1,1
152,0,0,0,0,0
153,1,0,0,0,0
154,1,1,1,1,1
155,0,0,0,0,0
156,1,1,0,1,1
157,0,0,0,0,0
158,1,1,1,1,1
159,1,1,0,1,1
160,1,1,1,1,1
161,0,0,0,0,0
162,1,1,1,1,1
163,1,1,1,1,1
164,1,1,1,1,1
165,0,0,0,0,0
166,0,0,0,0,0
167,0,0,0,0,0
168,0,0,0,0,0
169,1,0,0,0,0
170,0,0,0,0,0
171,1,1,0,1,1
172,1,1,1,1,1
173,0,0,0,0,0
174,0,0,0,0,0
175,1,1,1,1,1
176,1,1,1,0,0
177,0,1,0,1,1
178,1,1,1,0,0
179,1,0,0,0,0
180,1,1,1,1,1
181,0,1,0,1,1
182,1,0,0,0,0
183,1,1,1,1,1
184,0,0,0,0,0
185,0,0,0,0,0
186,0,1,1,1,1
187,0,0,0,0,0
188,0,0,0,0,0
189,1,1,1,1,1
190,1,1,1,0,1
191,0,1,0,1,1
192,1,1,0,0,0
193,1,1,1,1,1
194,0,0,0,0,0
195,1,1,1,1,1
196,0,1,1,1,1
197,0,0,0,0,0
198,0,1,1,1,1
199,1,1,1,1,1
200,0,0,0,0,0
201,1,0,0,0,0
202,1,1,0,1,1
203,1,1,1,1,1
204,1,1,1,1,1
205,0,0,0,0,0
206,0,0,0,0,0
207,0,0,0,0,0
208,1,1,1,1,1
209,1,1,1,1,1
210,0,0,0,0,0
211,1,1,0,1,1
212,1,1,1,1,1
213,1,0,0,1,0
214,0,0,0,0,0
215,0,1,0,1,0
216,1,1,0,1,0
217,1,1,0,1,1
218,0,0,0,0,0
219,1,1,1,1,1
220,0,0,0,1,0
221,0,1,0,1,1
222,0,1,1,1,1
223,1,1,1,1,1
224,0,0,0,0,0
225,0,0,0,0,0
226,0,0,0,0,0
227,1,1,1,1,1
228,0,1,1,1,1
229,1,0,0,0,0
230,1,1,1,1,1
231,0,0,0,0,0
232,1,1,0,1,1
233,1,1,0,0,0
234,1,1,0,1,1
235,0,0,1,0,1
236,0,0,0,0,0
237,1,1,1,1,1
238,0,0,0,0,0
239,1,1,0,1,1
240,1,1,1,0,1
241,1,1,1,1,1
242,0,0,0,0,0
243,1,0,0,0,0
244,0,0,0,0,0
245,1,1,0,1,1
246,0,1,1,1,1
247,1,1,0,1,1
248,1,1,1,1,1
249,0,0,0,0,0
250,0,1,1,1,1
251,1,0,0,0,0
252,0,0,0,0,0
253,0,0,0,0,0
254,0,0,0,0,0
255,1,0,0,0,0
256,1,1,1,1,1
257,1,1,0,1,0
258,0,0,0,0,0
259,1,1,1,1,1
260,1,1,1,1,1
261,0,0,0,0,0
262,0,0,0,0,0
263,0,0,0,0,0
264,0,1,1,1,1
265,0,1,0,1,0
266,1,1,1,1,1
267,0,0,0,0,0
268,0,0,0,1,0
269,1,1,1,1,1
270,0,1,1,1,1
271,1,1,1,1,1
272,0,0,0,0,0
273,0,0,0,0,0
274,1,1,0,0,0
275,1,1,0,1,1
276,1,1,0,1,1
277,1,1,1,0,0
278,0,0,0,0,0
279,0,0,0,0,0
280,0,0,0,0,0
281,0,0,0,0,0
282,0,0,0,0,0
283,1,0,0,0,0
284,0,0,0,0,0
285,0,0,0,0,0
286,1,0,0,0,0
287,1,1,0,1,1
288,1,1,0,1,1
289,0,0,0,0,0
290,0,0,0,0,0
291,1,1,1,1,1
292,0,0,1,1,1
293,1,1,1,1,1
294,0,0,0,0,0
295,1,1,1,1,1
296,1,1,0,0,0
297,0,0,0,0,0
298,1,1,1,1,1
299,0,0,1,0,0
300,1,1,1,1,1
301,0,0,0,0,0
302,0,1,1,1,1
303,1,1,1,1,1
304,1,1,1,1,1
305,0,0,0,0,0
306,0,0,0,0,0
307,1,1,1,1,1
308,0,0,0,1,0
309,1,1,1,1,1
310,1,1,1,1,1
311,1,1,1,1,1
312,1,0,0,0,0
313,1,1,1,1,1
314,1,0,0,0,0
315,0,0,0,0,0
316,0,0,0,0,0
317,1,1,1,1,1
318,0,1,1,1,1
319,1,0,0,0,0
320,0,0,0,0,0
321,0,0,0,0,0
322,0,0,0,0,0
323,1,1,1,1,1
324,1,1,1,1,1
325,1,1,1,1,1
326,0,0,0,0,0
327,1,1,0,1,1
328,1,1,1,1,1
329,1,1,1,1,1
330,1,1,0,0,1
331,0,0,0,0,0
332,1,1,1,1,1
333,0,0,0,0,0
334,1,1,1,1,1
335,1,1,1,1,1
336,1,1,1,1,1
337,0,0,0,0,0
338,0,1,1,1,1
339,1,1,1,1,1
340,1,1,0,1,1
341,0,0,0,0,0
342,0,0,0,0,0
343,1,0,0,0,0
344,1,1,1,1,1
345,1,1,1,1,1
346,0,0,0,0,0
347,1,1,0,1,1
348,0,0,0,1,1
349,1,1,1,1,1
350,1,1,1,1,1
351,1,1,0,1,1
352,0,1,0,1,1
353,0,0,0,0,0
354,1,1,0,0,0
355,1,0,0,0,0
356,0,0,0,0,0
357,0,0,0,0,0
358,0,0,0,0,0
359,0,0,0,1,0
360,0,0,0,0,0
361,0,0,0,0,0
362,0,1,0,1,0
363,0,1,0,1,1
364,1,1,1,1,1
365,0,1,1,1,1
366,1,1,0,1,1
367,1,1,1,1,1
368,0,0,1,1,0
369,1,1,0,1,0
370,1,1,1,1,1
371,0,0,0,0,0
372,1,1,1,0,1
373,0,1,1,0,1
374,0,0,0,0,0
375,0,0,0,0,0
376,1,0,0,1,0
377,0,1,0,1,1
378,1,1,1,1,1
379,0,0,0,0,0
380,0,0,0,0,0
381,0,0,0,0,0
382,0,1,0,1,1
383,0,0,0,1,0
384,1,1,1,1,1
385,0,1,1,1,1
386,0,1,0,1,1
387,0,0,1,1,1
388,1,1,1,1,1
389,0,1,0,1,1
390,0,0,0,0,0
391,0,0,0,0,0
392,1,1,1,1,1
393,0,0,0,0,0
394,0,0,1,0,1
395,1,1,1,0,1
396,0,0,1,0,0
397,0,1,1,1,1
398,1,1,0,0,1
399,1,1,1,1,1
400,0,0,0,0,0
401,1,1,1,1,1
402,0,0,0,0,0
403,0,1,0,1,1
404,1,1,1,1,1
405,0,0,1,1,1
406,0,1,0,1,1
407,0,0,0,0,0
408,0,0,0,0,0
409,1,1,1,1,1
410,1,1,1,1,1
411,1,1,0,1,0
412,1,1,0,1,1
413,1,1,0,1,0
414,0,0,0,0,0
415,1,1,1,1,1
416,1,1,0,1,1
417,0,0,0,0,0
418,1,1,0,0,0
419,1,1,1,1,1
420,1,1,1,1,1
421,0,0,0,0,0
422,0,0,0,0,0
423,0,0,1,1,1
424,1,1,0,1,0
425,1,1,1,1,1
426,0,0,0,1,1
427,0,0,0,0,0
428,1,1,0,1,0
429,0,1,1,1,1
430,1,1,1,1,1
431,1,1,1,1,1
432,0,0,0,0,0
433,1,1,1,1,1
434,0,0,0,1,1
435,1,1,1,1,1
436,0,0,1,0,0
437,1,1,0,1,0
438,1,1,0,1,1
439,0,1,1,1,1
440,1,1,1,1,1
441,1,1,1,1,1
442,1,1,1,1,1
443,0,1,1,1,1
444,0,1,1,1,1
445,0,0,0,0,0
446,0,1,0,1,1
447,0,0,1,1,0
448,0,0,0,0,0
449,1,0,0,0,0
450,0,0,0,0,0
451,0,1,1,1,1
452,1,1,1,1,1
453,1,1,1,1,1
454,1,1,1,1,1
455,1,1,0,1,1
456,0,0,0,0,0
457,0,0,0,0,0
458,1,1,1,1,0
459,1,1,0,1,1
460,0,0,0,0,0
461,0,0,0,0,0
462,1,1,1,1,1
463,1,1,1,1,1
464,1,1,1,1,1
465,1,1,1,0,1
466,1,1,0,1,1
467,0,0,1,1,1
468,1,1,0,1,1
469,0,0,0,0,0
470,0,0,0,0,0
471,1,1,1,1,1
472,0,0,1,1,0
473,1,1,0,1,1
474,0,1,0,1,0
475,1,1,1,0,1
476,0,0,1,1,1
477,0,1,1,1,1
478,1,1,0,1,0
479,1,1,0,1,0
480,0,1,1,1,1
481,0,0,0,0,0
482,0,0,0,0,0
483,1,1,1,1,1
484,0,0,0,0,0
485,1,1,0,1,1
486,1,1,1,1,1
487,0,1,0,1,1
488,0,1,1,1,1
489,1,0,0,1,0
490,1,1,1,1,1
491,1,0,0,0,0
492,0,0,0,0,0
493,1,1,0,0,0
494,0,1,0,1,0
495,0,0,0,0,0
496,1,1,1,1,1
497,1,1,0,1,1
498,1,0,0,0,0
499,1,1,0,1,1
500,1,1,1,1,1
501,0,0,0,0,0
502,1,1,0,1,1
503,1,0,0,0,0
504,1,1,0,1,1
505,1,1,1,1,1
506,0,1,1,1,1
507,0,0,0,1,1
508,0,0,0,0,0
509,0,0,0,0,0
510,0,1,1,1,1
511,1,1,0,1,1
512,0,1,1,1,1
513,1,1,1,1,1
514,0,0,0,0,0
515,1,1,1,1,1
516,0,0,0,1,0
517,1,1,1,1,1
518,0,0,0,0,0
519,1,1,0,1,0
520,0,1,1,1,1
521,1,1,1,1,1
522,0,0,0,0,0
523,1,1,1,1,1
524,0,0,1,1,1
525,1,1,1,1,1
526,1,1,1,1,1
527,1,1,0,1,1
528,0,0,0,0,0
529,0,0,0,0,0
530,0,1,1,1,1
531,0,0,0,0,0
532,0,0,0,0,0
533,1,0,0,0,0
534,0,0,0,1,0
535,1,1,1,1,1
536,0,0,0,0,0
537,0,0,1,1,1
538,1,1,1,1,1
539,1,1,1,1,1
540,1,1,0,1,1
541,0,0,0,0,0
542,1,1,1,1,1
543,0,0,0,0,0
544,1,1,1,1,1
545,1,1,1,1,1
546,1,1,1,1,1
547,0,0,0,0,0
548,0,1,1,1,1
549,1,1,1,1,1
550,1,1,1,1,1
551,1,1,0,0,0
552,1,1,1,1,1
553,1,1,0,1,1
554,1,1,1,1,1
555,0,1,0,0,0
556,1,1,0,1,1
557,0,0,0,1,1
558,0,0,1,1,1
559,1,1,0,1,1
560,0,0,0,0,0
561,0,0,0,1,0
562,1,1,1,1,1
563,1,0,0,0,0
564,1,1,0,0,0
565,0,0,0,0,0
566,1,1,0,0,0
567,0,1,0,1,1
568,0,0,0,0,0
569,1,1,1,1,1
570,1,1,1,1,1
571,0,1,1,1,1
572,0,1,1,1,1
573,0,0,0,0,0
574,0,0,1,1,1
575,1,1,1,1,1
576,1,1,1,1,1
577,1,1,0,1,1
578,1,1,1,1,1
579,1,1,0,1,1
580,0,1,1,1,1
581,1,0,0,0,0
582,1,1,0,1,0
583,1,1,0,1,1
584,1,0,0,0,0
585,0,0,0,0,0
586,0,0,0,0,0
587,1,1,1,1,1
588,1,1,1,1,1
589,1,1,1,1,1
590,1,1,1,1,1
591,1,1,1,1,1
592,1,1,1,1,1
593,0,0,0,0,0
594,1,0,0,0,0
595,1,1,1,0,0
596,1,1,1,1,1
597,0,0,0,0,0
598,0,0,0,0,0
599,0,1,0,0,0
600,0,0,1,0,0
601,1,1,1,1,1
602,0,0,0,0,0
603,1,1,0,1,1
604,0,0,0,1,0
605,1,0,0,0,0
606,0,0,0,0,0
607,1,1,1,1,1
608,1,0,0,0,0
609,0,0,0,0,0
610,0,0,0,1,0
611,1,1,1,1,1
612,0,0,0,0,0
613,1,0,0,1,1
614,1,1,1,1,1
615,0,1,1,1,1
616,1,1,0,0,0
617,0,0,0,0,0
618,0,1,0,1,1
619,1,1,1,1,1
620,0,0,0,0,0
621,0,0,0,0,0
622,0,1,1,1,1
623,0,0,0,0,0
624,1,1,0,1,1
625,1,1,1,1,1
626,0,0,0,0,0
627,0,0,0,0,0
628,1,1,1,1,1
629,1,1,0,1,1
630,0,0,0,0,0
631,1,1,1,0,1
632,0,0,0,0,0
633,1,1,1,1,1
634,0,0,0,0,0
635,1,1,1,1,1
636,1,1,1,1,1
637,0,0,0,0,0
638,0,1,1,1,1
639,1,1,0,0,0
640,1,1,1,0,0
641,1,1,1,1,1
642,0,0,0,0,0
643,1,1,1,1,1
644,1,1,0,1,1
645,1,0,0,1,0
646,1,1,1,1,1
647,0,0,0,0,0
648,0,0,0,0,0
649,1,1,1,1,1
650,1,1,1,1,1
651,1,1,1,1,1
652,0,1,1,1,1
653,1,1,1,0,0
654,0,0,0,0,0
655,0,0,0,1,0
656,1,1,0,1,1
657,1,1,0,1,1
658,0,0,0,0,0
659,0,0,1,1,1
660,1,1,1,1,1
661,1,1,1,1,1
662,1,1,1,1,1
663,1,1,0,0,1
664,1,1,0,1,0
665,1,1,0,1,1
666,1,1,1,1,1
667,1,1,1,1,1
668,0,1,0,1,1
669,0,0,0,0,0
670,0,0,0,0,0
671,1,1,0,1,1
672,1,1,1,1,1
673,0,1,0,1,1
674,1,1,0,1,0
675,0,0,0,0,0
676,1,1,1,1,1
677,0,0,0,0,0
678,1,1,0,1,1
679,0,0,0,0,0
680,0,1,0,1,1
681,0,0,0,1,1
682,0,0,0,0,0
683,0,0,0,0,0
684,0,1,1,1,1
685,1,1,0,0,0
686,0,0,0,0,0
687,0,0,0,0,0
688,1,1,0,0,0
689,1,0,0,0,0
690,1,1,1,1,1
691,1,1,1,1,1
692,0,1,0,0,0
693,1,1,0,1,0
694,0,0,0,0,0
695,1,1,0,1,1
696,1,1,1,1,1
697,0,0,0,0,0
698,1,0,0,0,0
699,1,1,1,1,1
700,0,1,1,1,1
701,1,1,1,1,1
702,0,0,0,0,0
703,0,0,0,0,0
704,1,1,0,0,0
705,0,0,0,0,0
706,1,0,0,0,0
707,0,0,0,0,0
708,1,1,1,1,1
709,1,1,0,1,1
710,0,0,0,1,0
711,1,1,1,1,1
712,1,1,1,1,1
713,0,0,0,0,0
714,0,1,0,1,1
715,0,0,0,0,0
716,1,1,1,1,1
717,0,1,1,1,1
718,1,1,0,1,1
719,1,1,1,1,1
720,0,0,0,0,0
721,0,1,0,1,1
722,1,1,1,1,1
723,0,0,0,0,0
724,0,0,0,1,0
725,0,1,1,1,1
726,1,1,1,1,1
727,1,1,1,1,1
728,0,0,1,1,1
729,1,1,1,1,1
730,1,1,0,1,1
731,0,0,0,0,0
732,0,0,0,0,0
733,0,0,0,0,0
734,0,1,0,1,1
735,0,0,0,0,0
736,1,0,0,0,0
737,1,1,0,1,1
738,0,0,0,0,0
739,1,1,1,0,1
740,0,0,1,1,1
741,1,1,1,1,1
742,0,0,0,0,0
743,0,0,0,0,0
744,1,1,1,1,1
745,1,1,1,1,1
746,1,1,1,1,1
747,0,0,1,1,1
748,0,0,0,0,0
749,1,1,0,0,0
750,0,0,0,0,0
751,0,0,0,0,0
752,1,1,0,1,0
753,0,0,0,0,0
754,1,1,1,1,1
755,1,1,1,1,1
756,1,1,1,1,1
757,0,0,0,0,0
758,0,0,0,0,0
759,0,1,1,1,1
760,0,1,0,1,1
761,0,0,0,0,0
762,0,0,0,0,0
763,0,0,0,0,0
764,0,1,0,1,1
765,1,1,0,1,1
766,1,1,0,1,0
767,0,0,0,0,0
768,0,1,1,1,1
769,1,1,1,1,1
770,0,0,0,0,0
771,0,0,0,0,0
772,0,0,0,0,0
773,0,0,0,0,0
774,1,0,0,1,0
775,0,0,1,1,1
776,1,1,1,1,1
777,1,1,1,1,1
778,1,1,0,0,0
779,0,0,0,0,0
780,1,1,1,1,1
781,0,0,0,0,0
782,0,0,1,1,1
783,0,0,0,0,0
784,1,1,0,0,0
785,1,1,0,0,0
786,1,1,0,1,1
787,0,0,0,0,0
788,1,1,1,1,1
789,1,1,1,1,1
790,0,0,0,0,0
791,1,1,1,1,1
792,1,1,0,0,0
793,1,1,0,0,0
794,1,1,1,1,1
795,1,1,1,1,1
796,1,1,1,1,1
797,0,0,0,0,0
798,1,1,1,1,1
799,1,1,1,1,1
800,1,1,1,1,1
801,1,1,0,1,0
802,1,1,1,1,1
803,0,0,0,0,0
804,0,0,0,0,0
805,1,1,1,1,1
806,0,0,0,0,0
807,1,0,0,0,0
808,0,0,0,0,0
809,0,0,0,1,0
810,1,1,1,1,1
811,0,1,1,1,0
812,1,1,0,1,1
813,0,0,0,0,0
814,1,1,1,1,1
815,0,1,0,1,1
816,0,0,0,0,0
817,0,0,0,0,0
818,1,1,0,0,0
819,1,1,0,1,1
820,0,0,0,0,0
821,0,0,0,0,0
822,0,0,0,0,0
823,1,1,1,1,1
824,0,0,0,1,0
825,1,1,1,1,1
826,0,0,1,1,1
827,0,1,1,1,1
828,0,0,1,0,0
829,1,1,0,1,1
830,0,0,1,1,1
831,1,1,1,1,1
832,0,0,0,1,1
833,0,0,0,1,0
834,0,1,0,1,0
835,1,1,0,1,1
836,1,1,1,1,1
837,1,1,1,1,1
838,0,0,0,0,0
839,1,1,1,1,1
840,1,1,1,1,1
841,0,0,0,1,0
842,0,0,0,0,0
843,0,0,0,0,0
844,1,1,1,1,1
845,1,1,1,1,1
846,1,1,1,1,1
847,0,0,0,0,0
848,0,0,0,0,0
849,0,0,0,0,0
850,0,0,0,0,0
851,1,0,0,0,0
852,0,0,0,0,0
853,1,1,1,1,1
854,0,1,0,1,1
855,1,0,0,0,0
856,0,0,0,0,0
857,1,1,0,1,1
858,0,0,0,0,0
859,1,1,1,1,1
860,0,0,0,0,0
861,1,1,1,1,1
862,1,1,1,1,1
863,1,1,1,1,1
864,0,0,0,0,0
865,0,0,0,0,0
866,1,1,1,0,1
867,1,1,1,1,1
868,1,1,1,1,1
869,1,1,1,1,1
870,0,0,0,0,0
871,0,1,1,1,0
872,1,1,1,1,1
873,1,0,0,0,0
874,0,0,0,0,0
875,1,1,1,1,1
876,1,1,0,1,1
877,1,1,1,1,1
878,1,1,1,1,1
879,0,0,0,0,0
880,0,0,0,0,0
881,1,1,1,1,1
882,1,1,1,1,1
883,1,0,0,0,0
884,1,1,0,1,1
885,0,1,0,0,1
886,1,1,1,1,1
887,1,1,1,1,1
888,0,0,1,1,1
889,1,1,1,1,1
890,0,0,0,1,0
891,1,1,1,1,1
892,1,1,1,1,1
893,0,1,0,1,1
894,1,0,1,0,0
895,0,0,0,0,0
896,1,1,1,1,1
897,0,0,0,0,0
898,0,0,0,0,0
899,1,1,0,1,1
900,1,1,1,1,1
901,1,1,1,1,1
902,0,1,0,1,1
903,1,1,1,1,1
904,1,1,1,1,1
905,1,1,1,1,1
906,1,1,0,1,0
907,1,1,0,1,0
908,1,0,0,1,0
909,0,0,0,0,0
910,1,1,1,1,1
911,1,1,1,1,1
912,0,0,0,0,0
913,0,0,0,0,0
914,1,1,1,1,1
915,1,1,1,1,1
916,1,0,0,0,0
917,0,0,0,0,0
918,1,1,1,1,1
919,0,0,0,0,0
920,1,1,1,1,1
921,1,1,0,1,1
922,1,1,1,1,1
923,1,0,0,0,0
924,0,0,1,1,1
925,1,0,0,0,0
926,1,1,1,1,1
927,0,0,0,0,0
928,0,0,0,0,0
929,0,0,0,0,0
930,1,1,1,1,1
931,0,1,1,1,1
932,1,1,1,1,1
933,1,0,0,0,0
934,1,1,0,0,0
935,0,0,1,0,1
936,1,0,0,0,0
937,0,1,1,1,1
938,0,0,0,1,1
939,1,1,0,1,1
940,1,1,1,1,1
941,1,1,0,1,1
942,1,1,1,1,1
943,1,1,1,1,1
944,1,0,0,0,0
945,0,0,0,0,0
946,1,1,1,1,1
947,1,1,1,1,1
948,1,1,1,1,1
949,1,1,1,1,1
950,0,1,1,1,1
951,1,1,1,1,1
952,1,1,0,1,1
953,0,0,0,0,0
954,1,0,0,0,0
955,1,1,1,1,1
956,0,0,0,0,0
957,0,0,0,0,0
958,1,1,1,1,1
959,1,1,1,1,1
960,1,1,0,1,1
961,1,1,1,1,1
962,1,1,0,1,1
963,1,1,1,1,1
964,0,0,1,0,0
965,1,1,1,1,1
966,0,1,0,1,1
967,0,0,0,0,0
968,1,1,0,0,0
969,1,1,1,1,1
970,0,0,0,0,0
971,0,1,0,1,1
972,1,1,1,1,1
973,1,1,1,1,1
974,0,0,1,0,0
975,1,1,1,1,1
976,1,1,0,1,0
977,0,0,0,0,0
978,1,1,1,1,0
979,0,0,0,0,0
980,1,1,1,1,1
981,1,1,0,1,1
982,0,0,0,0,0
983,1,1,1,1,1
984,0,0,0,0,0
985,1,0,0,0,0
986,1,1,1,1,1
987,1,1,0,1,1
988,0,0,0,0,0
989,0,1,0,1,1
990,1,0,0,0,0
991,0,1,1,1,1
992,1,1,1,1,1
993,1,1,1,1,1
994,0,0,0,0,0
995,0,0,0,0,0
996,1,1,1,1,1
997,0,0,0,0,0
998,1,1,1,1,1
999,1,1,1,1,1
1000,1,1,1,1,1
1001,0,1,0,1,1
1002,1,1,1,1,1
1003,1,1,0,1,1
1004,0,0,0,0,0
1005,0,0,0,0,0
1006,1,1,1,1,1
1007,0,1,0,1,1
1008,1,1,0,1,1
1009,1,1,0,1,1
1010,0,1,1,1,1
1011,1,1,1,1,1
1012,1,1,1,1,1
1013,0,0,0,0,0
1014,1,1,1,1,1
1015,0,0,0,0,0
1016,1,1,1,1,1
1017,0,0,0,1,0
1018,1,1,1,1,1
1019,0,0,0,0,0
1020,0,0,0,0,0
1021,0,0,0,0,0
1022,1,1,0,0,0
1023,0,1,1,0,1
1024,0,0,0,0,0
1025,1,0,0,0,0
1026,0,0,0,0,0
1027,1,1,1,1,1
1028,1,1,0,1,1
1029,0,0,0,1,0
1030,0,0,0,0,0
1031,0,0,0,0,1
1032,0,0,0,0,0
1033,0,0,0,0,0
1034,0,1,0,1,1
1035,0,0,0,0,0
1036,1,1,1,1,1
1037,1,1,1,1,1
1038,0,1,0,1,1
1039,1,1,1,0,1
1040,1,1,1,1,1
1041,0,0,0,0,0
1042,1,1,1,1,1
1043,0,0,0,0,0
1044,1,1,1,1,1
1045,1,1,1,1,1
1046,0,0,0,0,0
1047,0,1,0,1,1
1048,1,1,0,0,0
1049,0,0,0,0,0
1050,1,1,1,1,1
1051,1,1,0,1,0
1052,0,0,0,1,1
1053,1,1,1,1,1
1054,0,1,0,1,1
1055,1,1,1,1,1
1056,0,1,1,1,1
1057,1,1,1,1,1
1058,1,1,0,0,0
1059,1,1,1,1,1
1060,1,1,1,1,1
1061,0,0,0,1,0
1062,0,0,0,0,0
1063,0,1,1,0,0
1064,0,1,0,1,1
1065,0,0,0,0,0
1066,0,0,1,1,1
1067,1,1,1,1,1
1068,0,1,0,1,1
1069,1,0,0,0,0
1070,0,0,0,0,0
1071,0,0,1,1,1
1072,0,0,1,1,1
1073,1,1,1,0,1
1074,1,1,1,1,1
1075,0,0,0,1,0
1076,0,0,0,0,0
1077,1,1,1,1,1
1078,1,1,1,1,1
1079,0,0,0,0,0
1080,1,1,1,1,1
1081,0,0,0,0,0
1082,1,1,1,1,1
1083,1,1,1,1,1
1084,1,1,1,1,1
1085,0,0,0,0,0
1086,0,0,0,0,0
1087,0,0,0,0,0
1088,1,1,1,1,1
1089,0,0,0,0,0
1090,0,1,1,0,0
1091,0,0,0,0,0
1092,1,1,0,0,0
1093,1,1,1,1,1
1094,1,1,1,1,1
1095,1,1,1,1,1
1096,0,0,0,0,0
1097,0,1,1,1,1
1098,1,1,1,1,1
1099,0,0,0,0,0
1100,0,1,0,1,1
1101,0,0,0,0,0
1102,1,0,0,0,0
1103,1,1,1,1,1
1104,1,1,1,1,0
1105,1,1,1,1,1
1106,0,0,0,0,0
1107,0,1,1,1,1
1108,0,1,1,1,1
1109,0,0,0,0,0
1110,1,1,1,1,1
1111,1,1,1,1,1
1112,1,1,1,1,1
1113,0,0,0,0,0
1114,1,1,1,1,1
1115,1,0,0,0,0
1116,0,0,0,0,0
1117,1,1,0,1,0
1118,0,1,0,1,0
1119,0,0,0,0,0
1120,0,1,1,1,1
1121,0,0,0,0,0
1122,0,0,0,0,0
1123,1,1,1,1,1
1124,0,0,0,0,0
1125,0,1,1,1,1
1126,1,1,1,1,1
1127,0,0,1,0,0
1128,1,1,1,1,1
1129,0,0,0,0,0
1130,1,1,1,1,1
1131,0,0,0,0,0
1132,1,1,1,1,1
1133,0,0,0,0,0
1134,1,1,1,1,1
1135,1,1,1,1,1
1136,1,1,0,1,1
1137,0,0,0,0,0
1138,1,1,0,1,1
1139,1,1,1,1,1
1140,0,0,0,0,0
1141,1,1,0,1,0
1142,1,1,0,1,1
1143,1,1,1,1,1
1144,0,0,0,0,0
1145,1,1,1,1,1
1146,0,0,0,0,0
1147,0,0,0,1,1
1148,0,1,1,1,1
